Title,Year,Available,Available On,Match Type
The Sentinel,1977,True,"RipItGood, TheBox, JeSTeRPLeX",Fuzzy
Shaft,1971,False,—,None
A Nightmare on Elm Street,1984,True,TheBox,Fuzzy
Cinema Paradiso,1988,False,—,None
The Elephant Man,1980,False,—,None
Videodrome,1983,False,—,None
They Live,1988,True,TheBox,Title+Year
The Untouchables,1987,True,"RipItGood, TheBox",Title+Year
Blow Out,1981,False,—,None
Escape from New York,1981,False,—,None
Blood Simple,1984,False,—,None
Moonstruck,1987,True,TheBox,Title+Year
Tampopo,1985,True,TheBox,Title+Year
Manhunter,1986,False,—,None
The Color Purple,1985,True,JeSTeRPLeX,Fuzzy
"Good Morning, Vietnam",1987,False,—,None
The Vanishing,1988,True,RipItGood,Title+Year
Fright Night,1985,False,—,None
Children of the Corn,1984,False,—,None
The Last Emperor,1987,True,JeSTeRPLeX,Title+Year
A Room with a View,1986,False,—,None
Broadcast News,1987,False,—,None
L'Argent,1983,False,—,None
The Leftovers,1986,False,—,None
The Talented Mr. Ripley,1999,False,—,None
Speed,1994,True,RipItGood,Title+Year
Army of Darkness,1992,True,TheBox,Title+Year
Cape Fear,1991,False,—,None
From Dusk Till Dawn,1996,False,—,None
Bottle Rocket,1996,True,TheBox,Title+Year
Crash,1996,True,RipItGood,Fuzzy
Blade,1998,True,TheBox,Title+Year
A Few Good Men,1992,True,RipItGood,Title+Year
Sister Act,1992,True,"RipItGood, TheBox, JeSTeRPLeX, Z'Films",Title+Year
Crimson Tide,1995,False,—,None
The Pelican Brief,1993,False,—,None
Ri¢hie Ri¢h,1994,False,—,None
Thrashin',1986,False,—,None
How to Blow Up a Pipeline,2022,True,TheBox,Fuzzy
Paul,2011,True,TheBox,Title+Year
Cronos,1992,True,TheBox,Fuzzy
Drop Dead Gorgeous,1999,False,—,None
A Time to Kill,1996,False,—,None
Shallow Grave,1994,False,—,None
Out of Sight,1998,False,—,None
Desperado,1995,True,TheBox,Title+Year
Eternity and a Day,1998,False,—,None
Fried Green Tomatoes,1991,True,JeSTeRPLeX,Title+Year
The Firm,1993,False,—,None
The Bodyguard,1992,False,—,None
The City of Lost Children,1995,False,—,None
The People Under the Stairs,1991,False,—,None
The Mighty Ducks,1992,True,JeSTeRPLeX,Title+Year
The Butterfly Effect,2004,False,—,None
Training Day,2001,True,RipItGood,Title+Year
Taken,2008,True,"RipItGood, TheBox, Z'Films",Title+Year
Persepolis,2007,False,—,None
Bring It On,2000,True,"RipItGood, JeSTeRPLeX",Title+Year
Apocalypto,2006,True,RipItGood,Title+Year
The Beach,2000,True,TheBox,Title+Year
One Hour Photo,2002,True,RipItGood,Title+Year
Van Helsing,2004,True,"RipItGood, JeSTeRPLeX, Z'Films",Title+Year
Band of Brothers,2001,False,—,None
Black Dynamite,2009,False,—,None
Fracture,2007,False,—,None
Cowboy Bebop: The Movie,2001,True,TheBox,Title+Year
Be Kind Rewind,2008,True,RipItGood,Title+Year
Bewitched,2005,True,"RipItGood, JeSTeRPLeX",Title+Year
Man on Wire,2008,False,—,None
xXx,2002,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
The Love Witch,2016,False,—,None
Shame,2011,False,—,None
Bridge of Spies,2015,True,JeSTeRPLeX,Title+Year
The Dead Don't Die,2019,True,TheBox,Title+Year
Tinker Tailor Soldier Spy,2011,False,—,None
End of Watch,2012,False,—,None
Argo,2012,False,—,None
The House That Jack Built,2018,True,TheBox,Title+Year
The Neon Demon,2016,True,TheBox,Title+Year
The Art of Self-Defense,2019,False,—,None
The Lost City of Z,2016,False,—,None
There Will Be Blood,2007,True,JeSTeRPLeX,Title+Year
The Pianist,2002,True,JeSTeRPLeX,Title+Year
Children of Men,2006,True,"RipItGood, TheBox",Title+Year
300,2006,True,"RipItGood, TheBox",Fuzzy
The Bourne Identity,2002,True,"RipItGood, JeSTeRPLeX, Z'Films",Title+Year
Scary Movie,2000,True,TheBox,Title+Year
Gran Torino,2008,True,RipItGood,Title+Year
Irreversible,2002,True,TheBox,Title+Year
The Fast and the Furious: Tokyo Drift,2006,True,"RipItGood, TheBox, JeSTeRPLeX, Z'Films",Title+Year
The Assassination of Jesse James by the Coward Robert Ford,2007,True,"RipItGood, TheBox",Title+Year
The Bourne Supremacy,2004,True,"RipItGood, JeSTeRPLeX, Z'Films",Title+Year
Sunshine,2007,False,—,None
Brick,2005,False,—,None
American Gangster,2007,True,RipItGood,Title+Year
Silent Hill,2006,False,—,None
Bend It Like Beckham,2002,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
Crash,2004,True,RipItGood,Title+Year
Jeepers Creepers,2001,False,—,None
Scream,1996,True,RipItGood,Title+Year
Fargo,1996,False,—,None
The Usual Suspects,1995,True,RipItGood,Title+Year
Misery,1990,False,—,None
Bram Stoker's Dracula,1992,True,TheBox,Title+Year
Hocus Pocus,1993,True,"RipItGood, JeSTeRPLeX, Z'Films",Title+Year
Twelve Monkeys,1995,False,—,None
Independence Day,1996,True,"RipItGood, TheBox, JeSTeRPLeX, Z'Films",Title+Year
The Thin Red Line,1998,False,—,None
Mars Attacks!,1996,True,"TheBox, JeSTeRPLeX",Title+Year
Beau Travail,1999,False,—,None
Four Weddings and a Funeral,1994,False,—,None
She's All That,1999,True,"RipItGood, JeSTeRPLeX",Title+Year
The Age of Innocence,1993,False,—,None
Empire Records,1995,False,—,None
Showgirls,1995,True,TheBox,Title+Year
Con Air,1997,True,"RipItGood, TheBox",Title+Year
Braindead,1992,False,—,None
True Lies,1994,True,RipItGood,Title+Year
Pleasantville,1998,False,—,None
Meet Joe Black,1998,True,JeSTeRPLeX,Title+Year
The Straight Story,1999,False,—,None
The Insider,1999,False,—,None
The Faculty,1998,False,—,None
Patch Adams,1998,True,JeSTeRPLeX,Title+Year
Swingers,1996,False,—,None
Days of Thunder,1990,True,JeSTeRPLeX,Title+Year
Chaplin,1992,False,—,None
Sling Blade,1996,False,—,None
A Perfect World,1993,False,—,None
City of Angels,1998,True,JeSTeRPLeX,Title+Year
Rudy,1993,False,—,None
Life Is Sweet,1990,False,—,None
Sleeping with the Enemy,1991,False,—,None
Double Jeopardy,1999,False,—,None
Great Expectations,1998,False,—,None
The Net,1995,True,"RipItGood, JeSTeRPLeX",Title+Year
Dante's Peak,1997,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
Eve's Bayou,1997,False,—,None
Indecent Proposal,1993,False,—,None
Ghostwatch,1992,False,—,None
City Slickers,1991,False,—,None
Set It Off,1996,True,RipItGood,Title+Year
Junior,1994,False,—,None
The Legend of 1900,1998,False,—,None
Half Baked,1998,True,"RipItGood, TheBox",Title+Year
Of Mice and Men,1992,False,—,None
Tales from the Hood,1995,True,TheBox,Title+Year
Broken Arrow,1996,False,—,None
Maverick,1994,True,JeSTeRPLeX,Title+Year
Clockers,1995,False,—,None
Copycat,1995,False,—,None
G.I. Jane,1997,True,RipItGood,Title+Year
End of Days,1999,False,—,None
Lone Star,1996,False,—,None
Jungle Fever,1991,False,—,None
Dead Presidents,1995,False,—,None
Raising Arizona,1987,True,"TheBox, JeSTeRPLeX",Title+Year
Midnight Run,1988,False,—,None
Mississippi Burning,1988,False,—,None
Altered States,1980,False,—,None
Nine to Five,1980,True,TheBox,Title+Year
Ordinary People,1980,False,—,None
Top Secret!,1984,False,—,None
Driving Miss Daisy,1989,True,JeSTeRPLeX,Title+Year
Nineteen Eighty-Four,1984,False,—,None
Demons,1985,False,—,None
The Verdict,1982,False,—,None
True Stories,1986,True,TheBox,Title+Year
Annie,1982,True,JeSTeRPLeX,Title+Year
Bloodsport,1988,False,—,None
The Stuff,1985,False,—,None
Prom Night,1980,False,—,None
48 Hrs.,1982,False,—,None
The Blue Lagoon,1980,False,—,None
Mystic Pizza,1988,False,—,None
The Keep,1983,False,—,None
Better Off Dead...,1985,True,JeSTeRPLeX,Fuzzy
Boyfriends and Girlfriends,1987,False,—,None
One from the Heart,1982,False,—,None
Dead & Buried,1981,False,—,None
2010: The Year We Make Contact,1984,False,—,None
House of Games,1987,False,—,None
Crimes of Passion,1984,False,—,None
Roadgames,1981,False,—,None
Smooth Talk,1985,False,—,None
Casualties of War,1989,True,RipItGood,Title+Year
Over the Top,1987,True,JeSTeRPLeX,Title+Year
Miami Connection,1987,False,—,None
Working Girls,1986,False,—,None
Dead Men Don't Wear Plaid,1982,False,—,None
The Dead Pool,1988,False,—,None
Stand and Deliver,1988,True,RipItGood,Title+Year
Used Cars,1980,False,—,None
Coming to America,1988,True,TheBox,Fuzzy
Bubble Boy,2001,False,—,None
Like Mike,2002,True,Z'Films,Title+Year
Kinky Boots,2005,False,—,None
Barbershop,2002,True,RipItGood,Title+Year
National Security,2003,False,—,None
Pootie Tang,2001,False,—,None
Fatal Attraction,1987,True,"RipItGood, TheBox",Title+Year
Enemy of the State,1998,False,—,None
Point Break,1991,True,JeSTeRPLeX,Fuzzy
Because of Winn-Dixie,2005,True,RipItGood,Title+Year
Commando,1985,False,—,None
Charlie's Angels,2000,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
First Blood,1982,True,"RipItGood, TheBox",Title+Year
Lethal Weapon,1987,True,RipItGood,Title+Year
Jason Bourne,2016,True,JeSTeRPLeX,Title+Year
John Wick,2014,True,Z'Films,Title+Year
I Know What You Did Last Summer,1997,True,TheBox,Title+Year
The Fugitive,1993,True,JeSTeRPLeX,Title+Year
Edge of Tomorrow,2014,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
I Am Legend,2007,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
The Fly,1986,True,JeSTeRPLeX,Fuzzy
Predator,1987,False,—,None
Moon,2009,True,"RipItGood, TheBox",Title+Year
High Life,2018,True,TheBox,Title+Year
Close Encounters of the Third Kind,1977,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
Alien: Covenant,2017,True,TheBox,Title+Year
Come and See,1985,True,TheBox,Title+Year
21 Jump Street,2012,True,RipItGood,Title+Year
The Gentlemen,2019,False,—,None
Pixels,2015,True,"RipItGood, JeSTeRPLeX",Title+Year
Jack Reacher,2012,True,"JeSTeRPLeX, Z'Films",Title+Year
Sicario: Day of the Soldado,2018,False,—,None
Pearl Harbor,2001,True,"RipItGood, JeSTeRPLeX",Title+Year
Miami Vice,2006,False,—,None
