Title,Year,Available,Available On,Match Type
Bad Lieutenant: Port of Call – New Orleans,2009,True,RipItGood,Fuzzy
Prisoners of the Ghostland,2021,True,JeSTeRPLeX,Title+Year
Peggy Sue Got Married,1986,False,—,None
Next,2007,True,JeSTeRPLeX,Title+Year
Joe,2013,False,—,None
World Trade Center,2006,False,—,None
Drive Angry,2011,False,—,None
Season of the Witch,2011,True,JeSTeRPLeX,Title+Year
Red Rock West,1993,False,—,None
The Cotton Club,1984,False,—,None
Fright Night,2011,False,—,None
Birdy,1984,True,RipItGood,Title+Year
Windtalkers,2002,False,—,None
Dog Eat Dog,2016,False,—,None
The Frozen Ground,2013,False,—,None
Sympathy for the Devil,2023,False,—,None
Left Behind,2014,True,JeSTeRPLeX,Title+Year
Dying of the Light,2014,False,—,None
Jiu Jitsu,2020,False,—,None
The Trust,2016,False,—,None
Bangkok Dangerous,2008,False,—,None
The Retirement Plan,2023,False,—,None
Brubaker,1980,False,—,None
Trapped in Paradise,1994,False,—,None
Never on Tuesday,1989,False,—,None
Guarding Tess,1994,True,RipItGood,Title+Year
"Planes, Trains and Automobiles",1987,True,RipItGood,Fuzzy
The Last Temptation of Christ,1988,False,—,None
Scanners,1981,False,—,None
Sleepaway Camp,1983,True,TheBox,Title+Year
Hairspray,1988,True,RipItGood,Title+Year
Splash,1984,True,"RipItGood, TheBox",Title+Year
The Toxic Avenger,1984,False,—,None
Hell House LLC Origins: The Carmichael Manor,2023,False,—,None
My Best Friend's Wedding,1997,True,JeSTeRPLeX,Title+Year
All of Us Strangers,2023,False,—,None
I Saw the TV Glow,2024,False,—,None
Dìdi (弟弟),2024,False,—,None
Hot Potato: The Story of The Wiggles,2023,False,—,None
Eileen,2023,True,TheBox,Title+Year
Sanctuary,2022,True,TheBox,Fuzzy
Argylle,2024,True,JeSTeRPLeX,Title+Year
Never Been Kissed,1999,True,JeSTeRPLeX,Title+Year
He's Just Not That Into You,2009,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
The Holdovers,2023,True,TheBox,Title+Year
Pride & Prejudice,2005,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
Manchester by the Sea,2016,False,—,None
Frances Ha,2012,True,TheBox,Fuzzy
Palm Springs,2020,False,—,None
Elemental,2023,True,JeSTeRPLeX,Title+Year
Finding Dory,2016,True,JeSTeRPLeX,Title+Year
"Red, White & Royal Blue",2023,False,—,None
Me Before You,2016,True,"JeSTeRPLeX, Z'Films",Title+Year
Paths of Glory,1957,False,—,None
Funny Games,1997,False,—,None
BEEF,2023,False,—,None
Inherent Vice,2014,True,TheBox,Title+Year
Rope,1948,False,—,None
Atomic Blonde,2017,False,—,None
Possessor,2020,True,TheBox,Title+Year
Popstar: Never Stop Never Stopping,2016,False,—,None
Ferrari,2023,False,—,None
My Life as a Zucchini,2016,True,JeSTeRPLeX,Title+Year
Trick 'r Treat,2007,False,—,None
Amour,2012,False,—,None
The Meyerowitz Stories (New and Selected),2017,False,—,None
Where the Wild Things Are,2009,True,"RipItGood, JeSTeRPLeX",Title+Year
Cloud Atlas,2012,False,—,None
Kimi,2022,False,—,None
The Strangers,2008,False,—,None
Scary Stories to Tell in the Dark,2019,False,—,None
From Up on Poppy Hill,2011,True,Z'Films,Title+Year
Mr. Nobody,2009,False,—,None
You're Next,2011,False,—,None
Barton Fink,1991,False,—,None
The Double Life of Véronique,1991,False,—,None
The Equalizer,2014,False,—,None
Detachment,2011,False,—,None
The New Mutants,2020,True,JeSTeRPLeX,Title+Year
Dumb Money,2023,False,—,None
The Crow,1994,True,TheBox,Title+Year
Rocky IV,1985,True,"JeSTeRPLeX, Z'Films",Title+Year
The Last Samurai,2003,True,JeSTeRPLeX,Title+Year
A Cinderella Story,2004,True,"RipItGood, JeSTeRPLeX, Z'Films",Title+Year
Southpaw,2015,False,—,None
The Hunt,2020,False,—,None
Harold and Maude,1971,False,—,None
Locke,2013,False,—,None
The Lives of Others,2006,False,—,None
Ginger Snaps,2000,True,TheBox,Title+Year
Philadelphia,1993,True,RipItGood,Title+Year
The Basketball Diaries,1995,False,—,None
The Girl on the Train,2016,False,—,None
Wild Child,2008,False,—,None
Focus,2015,False,—,None
Pulse,2001,False,—,None
Mad Max 2,1981,False,—,None
One Cut of the Dead,2017,False,—,None
Charade,1963,False,—,None
Watcher,2022,False,—,None
Rocky III,1982,True,"JeSTeRPLeX, Z'Films",Title+Year
Happy Death Day 2U,2019,False,—,None
We're All Going to the World's Fair,2021,True,TheBox,Title+Year
Dawn of the Dead,2004,False,—,None
Holidate,2020,False,—,None
Baywatch,2017,False,—,None
Texas Chainsaw 3D,2013,False,—,None
As Good as It Gets,1997,True,JeSTeRPLeX,Title+Year
Bronson,2008,False,—,None
Caché,2005,False,—,None
Bone Tomahawk,2015,False,—,None
Guy Ritchie's The Covenant,2023,False,—,None
Valerian and the City of a Thousand Planets,2017,True,JeSTeRPLeX,Title+Year
Benedetta,2021,True,TheBox,Title+Year
The Road,2009,True,RipItGood,Fuzzy
Phantom of the Paradise,1974,False,—,None
Frank,2014,False,—,None
Spiderhead,2022,True,TheBox,Title+Year
Kill Your Darlings,2013,False,—,None
Ninety-Five Senses,2022,False,—,None
Whip It,2009,True,JeSTeRPLeX,Title+Year
The Accountant,2016,False,—,None
Demolition,2015,False,—,None
Onibaba,1964,True,TheBox,Title+Year
Prince of Darkness,1987,True,TheBox,Title+Year
Mud,2012,False,—,None
Circle,2015,False,—,None
Pink Flamingos,1972,True,TheBox,Title+Year
The Rocker,2008,True,"TheBox, JeSTeRPLeX",Title+Year
Highlander,1986,False,—,None
Bottoms,2023,True,TheBox,Title+Year
Bodies Bodies Bodies,2022,True,TheBox,Title+Year
Memories of Murder,2003,True,TheBox,Title+Year
Evil Dead Rise,2023,False,—,None
Dungeons & Dragons: Honor Among Thieves,2023,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
Matilda,1996,True,"RipItGood, Z'Films",Title+Year
Knock at the Cabin,2023,True,TheBox,Title+Year
Honeymoon in Vegas,1992,False,—,None
Spy Hard,1996,False,—,None
Strangers on a Train,1951,False,—,None
A Line Across the Sky,2015,False,—,None
Occupied City,2023,True,JeSTeRPLeX,Title+Year
Saved By The Bell: Hawaiian Style,1992,False,—,None
Saved by the Bell: Wedding in Las Vegas,1994,False,—,None
The Stranger Beside Me,1995,False,—,None
Showdown at Horseshoe Hell,2015,False,—,None
Whitney,2018,False,—,None
My Left Foot: The Story of Christy Brown,1989,False,—,None
Guncrazy,1992,False,—,None
Dan in Real Life,2007,True,"RipItGood, JeSTeRPLeX",Title+Year
Drive-Away Dolls,2024,True,TheBox,Title+Year
Love Lies Bleeding,2024,False,—,None
I Like Movies,2022,False,—,None
The Man Who Killed Hitler and Then the Bigfoot,2018,False,—,None
Blood Quantum,2019,False,—,None
Wings,1927,False,—,None
The Longest Day,1962,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
Volcano,1997,False,—,None
Dune: Part Two,2024,True,"JeSTeRPLeX, Z'Films",Title+Year
Anyone But You,2023,True,TheBox,Title+Year
Five Nights at Freddy's,2023,True,JeSTeRPLeX,Title+Year
Godzilla vs. Kong,2021,True,JeSTeRPLeX,Title+Year
Perfect Days,2023,False,—,None
Metropolis,1927,False,—,None
Candyman,2021,False,—,None
Once Upon a Time in America,1984,True,"RipItGood, TheBox",Fuzzy
Godzilla: King of the Monsters,2019,True,JeSTeRPLeX,Title+Year
The Professor and the Madman,2019,False,—,None
Monkey Man,2024,False,—,None
Love & Basketball,2000,False,—,None
The Mighty Quinn,1989,True,TheBox,Title+Year
Who's the Man?,1993,True,TheBox,Title+Year
Arsenic and Old Lace,1944,True,TheBox,Title+Year
Matinee,1993,True,TheBox,Title+Year
Hell House LLC,2015,False,—,None
Audition,1999,False,—,None
The Skin I Live In,2011,False,—,None
The Purge,2013,False,—,None
Fantastic Planet,1973,True,TheBox,Title+Year
Fear Street: 1666,2021,False,—,None
Bicycle Thieves,1948,False,—,None
Skinamarink,2022,True,TheBox,Fuzzy
Freaky,2020,False,—,None
The Woman in the Window,2021,False,—,None
Roadrunner: A Film About Anthony Bourdain,2021,False,—,None
The Maltese Falcon,1941,True,RipItGood,Title+Year
East of Eden,1955,False,—,None
Movie 43,2013,False,—,None
The End of the Tour,2015,True,JeSTeRPLeX,Fuzzy
42,2013,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
Ms .45,1981,False,—,None
Monos,2019,False,—,None
The Doors,1991,False,—,None
Fear,1996,False,—,None
Urban Legend,1998,False,—,None
Le Cercle Rouge,1970,False,—,None
Judy,2019,False,—,None
The Transporter,2002,True,"TheBox, JeSTeRPLeX",Title+Year
Matthias & Maxime,2019,False,—,None
The To Do List,2013,False,—,None
What Women Want,2000,True,JeSTeRPLeX,Title+Year
The Lincoln Lawyer,2011,True,RipItGood,Title+Year
The Giver,2014,True,JeSTeRPLeX,Title+Year
The Grapes of Wrath,1940,True,JeSTeRPLeX,Title+Year
Brüno,2009,False,—,None
La Chinoise,1967,False,—,None
Legend,1985,False,—,None
She's Gotta Have It,1986,False,—,None
Tales from Earthsea,2006,True,"JeSTeRPLeX, Z'Films",Title+Year
The Report,2019,False,—,None
Haunt,2019,False,—,None
The Ugly Truth,2009,True,"RipItGood, TheBox",Title+Year
Midnight Special,2016,False,—,None
Bowling for Columbine,2002,False,—,None
Steel Magnolias,1989,True,"RipItGood, JeSTeRPLeX",Title+Year
Mainstream,2020,False,—,None
Gangster Squad,2013,False,—,None
Witness,1985,False,—,None
News of the World,2020,True,JeSTeRPLeX,Title+Year
"Me, Myself & Irene",2000,True,"RipItGood, TheBox",Title+Year
Half Nelson,2006,False,—,None
Murder on the Orient Express,1974,True,"Z'Films, JeSTeRPLeX",Fuzzy
Secret Window,2004,True,RipItGood,Title+Year
The Map of Tiny Perfect Things,2021,True,JeSTeRPLeX,Title+Year
Inside,2023,False,—,None
Smiley Face,2007,True,TheBox,Title+Year
The Book Thief,2013,True,JeSTeRPLeX,Title+Year
Anger Management,2003,True,JeSTeRPLeX,Title+Year
Safety Not Guaranteed,2012,False,—,None
Angst,1983,False,—,None
The First Omen,2024,False,—,None
Brawl in Cell Block 99,2017,False,—,None
Watching the Detectives,2007,False,—,None
Sans Soleil,1983,False,—,None
This Place Rules,2022,False,—,None
Self Reliance,2023,False,—,None
The Quick and the Dead,1995,True,RipItGood,Title+Year
Orlando,1992,False,—,None
Problemista,2023,False,—,None
"Spring, Summer, Fall, Winter... and Spring",2003,False,—,None
Song to Song,2017,False,—,None
Hostiles,2017,False,—,None
Live Free or Die Hard,2007,True,"RipItGood, JeSTeRPLeX",Title+Year
The Pacifier,2005,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
Army of Shadows,1969,False,—,None
The Blackcoat's Daughter,2015,False,—,None
Jackass Number Two,2006,True,TheBox,Title+Year
The Tourist,2010,True,JeSTeRPLeX,Title+Year
Family Switch,2023,True,JeSTeRPLeX,Title+Year
High Noon,1952,False,—,None
Creepshow,1982,False,—,None
Demolition Man,1993,False,—,None
Freedom Writers,2007,True,JeSTeRPLeX,Title+Year
Polytechnique,2009,False,—,None
Civil War,2024,True,TheBox,Title+Year
La Chimera,2023,False,—,None
Nick and Norah's Infinite Playlist,2008,True,"TheBox, JeSTeRPLeX",Title+Year
Last Action Hero,1993,False,—,None
Ip Man,2008,True,Z'Films,Title+Year
The Innocents,2021,False,—,None
The Hills Have Eyes,2006,True,RipItGood,Title+Year
The Muppet Movie,1979,True,JeSTeRPLeX,Title+Year
The Grudge,2004,True,"RipItGood, TheBox",Title+Year
No Sudden Move,2021,False,—,None
The Witches of Eastwick,1987,False,—,None
The Final Girls,2015,False,—,None
Jane Eyre,2011,True,"TheBox, JeSTeRPLeX",Title+Year
Operation Fortune: Ruse de Guerre,2023,False,—,None
The Slumber Party Massacre,1982,False,—,None
In the Name of the Father,1993,False,—,None
Crank,2006,True,RipItGood,Title+Year
Le Bonheur,1965,False,—,None
Predator 2,1990,True,TheBox,Title+Year
Free Fire,2016,False,—,None
The Voyeurs,2021,False,—,None
Heavenly Creatures,1994,False,—,None
Maniac,2018,False,—,None
Birth,2004,False,—,None
Salt,2010,True,"RipItGood, JeSTeRPLeX",Title+Year
Phenomena,1985,False,—,None
When They See Us,2019,False,—,None
Dogma,1999,False,—,None
The Hunger,1983,False,—,None
Walk Hard: The Dewey Cox Story,2007,False,—,None
Vengeance,2022,False,—,None
Saving Mr. Banks,2013,True,"RipItGood, JeSTeRPLeX",Title+Year
Michael Clayton,2007,False,—,None
Hotel Rwanda,2004,True,JeSTeRPLeX,Fuzzy
Richard Jewell,2019,False,—,None
A Fish Called Wanda,1988,False,—,None
The Kings of Summer,2013,False,—,None
Phone Booth,2002,False,—,None
The House of the Devil,2009,False,—,None
I Origins,2014,False,—,None
The Passion of the Christ,2004,True,JeSTeRPLeX,Title+Year
Can You Ever Forgive Me?,2018,False,—,None
Leave No Trace,2018,False,—,None
Grizzly Man,2005,False,—,None
Senior Year,2022,False,—,None
Strange Days,1995,False,—,None
Next Goal Wins,2023,True,"TheBox, JeSTeRPLeX",Title+Year
"Yes, God, Yes",2019,False,—,None
The Perfection,2018,False,—,None
The Descendants,2011,False,—,None
The Vast of Night,2019,False,—,None
She Said,2022,False,—,None
The Book of Eli,2010,True,RipItGood,Title+Year
The Devils,1971,False,—,None
Man on the Moon,1999,False,—,None
Triangle,2009,False,—,None
Identity,2003,False,—,None
Joy,2015,True,JeSTeRPLeX,Title+Year
Coach Carter,2005,True,"RipItGood, TheBox, JeSTeRPLeX, Z'Films",Title+Year
Planet Terror,2007,False,—,None
John Tucker Must Die,2006,True,JeSTeRPLeX,Title+Year
Night at the Museum: Secret of the Tomb,2014,True,JeSTeRPLeX,Title+Year
Monte Carlo,2011,True,JeSTeRPLeX,Title+Year
Foe,2023,False,—,None
Spielberg,2017,False,—,None
J. Edgar,2011,False,—,None
Total Eclipse,1995,False,—,None
The Man in the Iron Mask,1998,False,—,None
All Quiet on the Western Front,1930,True,TheBox,Fuzzy
Pink Floyd: The Wall,1982,False,—,None
The Color of Money,1986,False,—,None
Galaxy Quest,1999,True,Z'Films,Title+Year
The Empty Man,2020,False,—,None
"Good Bye, Lenin!",2003,False,—,None
Downfall,2004,False,—,None
The Girl Next Door,2004,True,RipItGood,Title+Year
Attack the Block,2011,False,—,None
Diabolique,1955,False,—,None
Dolemite Is My Name,2019,True,TheBox,Title+Year
Brightburn,2019,False,—,None
Moonage Daydream,2022,False,—,None
Ben-Hur,1959,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
Killer Klowns from Outer Space,1988,False,—,None
Freddy vs. Jason,2003,True,TheBox,Title+Year
Legend,2015,False,—,None
The Sacrifice,1986,False,—,None
Holy Motors,2012,False,—,None
The Discreet Charm of the Bourgeoisie,1972,False,—,None
Nowhere,1997,False,—,None
Personal Shopper,2016,False,—,None
Gone Baby Gone,2007,True,RipItGood,Title+Year
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,True,TheBox,Fuzzy
Tombstone,1993,True,RipItGood,Title+Year
Red Sparrow,2018,False,—,None
Friday the 13th Part 2,1981,False,—,None
The Searchers,1956,True,JeSTeRPLeX,Title+Year
Pride,2014,True,RipItGood,Fuzzy
The Good Nurse,2022,False,—,None
Easy Rider,1969,False,—,None
Ricky Stanicky,2024,False,—,None
The Eyes of Tammy Faye,2021,False,—,None
Godzilla,1954,True,TheBox,Title+Year
Ruby Sparks,2012,False,—,None
Revolutionary Road,2008,False,—,None
Ghostbusters II,1989,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
Bonnie and Clyde,1967,False,—,None
Avatar Spirits,2010,False,—,None
Son of Rambow,2007,False,—,None
Poolhall Junkies,2002,False,—,None
Interstate 60,2002,False,—,None
The Rum Diary,2011,False,—,None
The Legend of Billie Jean,1985,False,—,None
The Hoax,2006,False,—,None
Career Opportunities,1991,True,TheBox,Title+Year
Swimming with Sharks,1994,False,—,None
I'm Still Here,2010,False,—,None
Men at Work,1990,True,JeSTeRPLeX,Title+Year
The Anarchist Cookbook,2002,False,—,None
Breakfast of Champions,1999,False,—,None
Keanu,2016,False,—,None
Pretend It's a City,2021,False,—,None
Dream a Little Dream,1989,False,—,None
Lucky Numbers,2000,False,—,None
Mischief,1985,False,—,None
Hector and the Search for Happiness,2014,False,—,None
Cooley High,1975,False,—,None
Human Nature,2001,False,—,None
License to Drive,1988,False,—,None
Stretch,2014,False,—,None
Leaves of Grass,2009,False,—,None
Private Resort,1985,False,—,None
My Science Project,1985,False,—,None
Nothing,2003,False,—,None
Gridlock'd,1997,False,—,None
Mr. Magorium's Wonder Emporium,2007,True,JeSTeRPLeX,Title+Year
Monkeybone,2001,True,RipItGood,Title+Year
Hudson Hawk,1991,False,—,None
Take Me Home Tonight,2011,False,—,None
House Party,1990,False,—,None
S1m0ne,2002,False,—,None
Suicide Kings,1997,False,—,None
The Dish,2000,False,—,None
"Surfer, Dude",2008,True,RipItGood,Title+Year
The Lost City,2022,True,JeSTeRPLeX,Title+Year
Road House,2024,True,TheBox,Fuzzy
Gone with the Wind,1939,True,"RipItGood, JeSTeRPLeX",Title+Year
Anna Karenina,2012,False,—,None
Event Horizon,1997,True,TheBox,Title+Year
The Long Goodbye,1973,False,—,None
The Wonder,2022,False,—,None
Bound,1996,False,—,None
Rocky II,1979,True,"JeSTeRPLeX, Z'Films",Title+Year
Uptown Girls,2003,True,JeSTeRPLeX,Title+Year
Inside Man,2006,True,"RipItGood, TheBox",Title+Year
The Night House,2020,False,—,None
Death Becomes Her,1992,False,—,None
The Autopsy of Jane Doe,2016,False,—,None
Red Eye,2005,True,"RipItGood, JeSTeRPLeX",Title+Year
Scent of a Woman,1992,False,—,None
The Invitation,2015,False,—,None
Cruel Intentions,1999,False,—,None
Jackass Forever,2022,True,TheBox,Title+Year
Network,1976,False,—,None
A Man Called Otto,2022,False,—,None
The Dreamers,2003,False,—,None
The Postman Always Rings Twice,1946,False,—,None
The Postman Always Rings Twice,1981,False,—,None
I May Destroy You,2020,False,—,None
Garth Marenghi's Darkplace,2004,False,—,None
Baseball,1994,False,—,None
"Tyler, The Creator - Live: Call Me If You Get Lost",2022,False,—,None
The Natural,1984,True,JeSTeRPLeX,Title+Year
The Face of Another,1966,False,—,None
The Life and Death of Colonel Blimp,1943,False,—,None
A Matter of Life and Death,1946,False,—,None
Mishima: A Life in Four Chapters,1985,False,—,None
This Is Going to Hurt,2022,False,—,None
Sharp Objects,2018,False,—,None
The Story of Film: An Odyssey,2011,False,—,None
LIGHT & MAGIC,2022,False,—,None
Pride and Prejudice,1995,False,—,None
The Bob Emergency,2019,False,—,None
Samsara,2011,False,—,None
The Night Of,2016,False,—,None
Unbelievable,2019,False,—,None
Chunky Shrapnel,2020,False,—,None
"They Shoot Horses, Don't They?",1969,False,—,None
GODSPEED,2020,False,—,None
Little Women,2019,True,JeSTeRPLeX,Title+Year
Country Music,2019,False,—,None
Minari,2020,True,"TheBox, JeSTeRPLeX",Title+Year
Mangrove,2020,False,—,None
Saw,2004,True,"RipItGood, TheBox",Title+Year
The 36th Chamber of Shaolin,1978,False,—,None
20th Century Women,2016,True,TheBox,Title+Year
Evil Dead II,1987,False,—,None
Dawn of the Dead,1978,False,—,None
Train to Busan,2016,False,—,None
Repulsion,1965,False,—,None
Angel Dust,1994,False,—,None
The Tenant,1976,False,—,None
Inland Empire,2006,False,—,None
The Return of the Living Dead,1985,False,—,None
The Haunting,1963,False,—,None
Thirst,2009,False,—,None
The Hunchback of Notre Dame,1939,True,"RipItGood, Z'Films, JeSTeRPLeX",Fuzzy
Godzilla vs. Destoroyah,1995,False,—,None
Dr. Jekyll and Mr. Hyde,1931,False,—,None
Tenebre,1982,False,—,None
The Fall of the House of Usher,1928,False,—,None
The Phantom of the Opera,1925,True,"TheBox, Z'Films, JeSTeRPLeX",Fuzzy
Cemetery Man,1994,False,—,None
Dogra Magra,1988,False,—,None
Blind Beast,1969,False,—,None
Retribution,2006,False,—,None
August in the Water,1995,False,—,None
2046,2004,False,—,None
Dirty Computer,2018,False,—,None
Nomadland,2020,False,—,None
Million Dollar Baby,2004,True,"RipItGood, JeSTeRPLeX",Title+Year
My Fair Lady,1964,True,JeSTeRPLeX,Title+Year
Tom Jones,1963,False,—,None
Gigi,1958,False,—,None
Around the World in 80 Days,1956,True,JeSTeRPLeX,Title+Year
Atonement,2007,True,"RipItGood, TheBox",Title+Year
Sense and Sensibility,1995,True,JeSTeRPLeX,Title+Year
Bugsy,1991,False,—,None
Out of Africa,1985,True,RipItGood,Title+Year
Doctor Zhivago,1965,True,JeSTeRPLeX,Title+Year
Gentleman's Agreement,1947,False,—,None
Green Card,1990,False,—,None
Prizzi's Honor,1985,False,—,None
Yentl,1983,False,—,None
Arthur,1981,True,TheBox,Title+Year
Coal Miner's Daughter,1980,True,RipItGood,Title+Year
Breaking Away,1979,False,—,None
A Star Is Born,1976,True,JeSTeRPLeX,Title+Year
The Sunshine Boys,1975,False,—,None
The Longest Yard,1974,True,"RipItGood, TheBox, Z'Films, JeSTeRPLeX",Fuzzy
Fiddler on the Roof,1971,True,"RipItGood, JeSTeRPLeX, Z'Films",Title+Year
The Music Man,1962,True,JeSTeRPLeX,Title+Year
Guys and Dolls,1955,True,JeSTeRPLeX,Title+Year
The Ministry of Ungentlemanly Warfare,2024,True,JeSTeRPLeX,Title+Year
Funny Girl,1968,True,JeSTeRPLeX,Title+Year
Wonka,2023,True,"JeSTeRPLeX, Z'Films",Title+Year
His Girl Friday,1940,True,TheBox,Title+Year
My Man Godfrey,1936,False,—,None
The Hand That Rocks the Cradle,1992,False,—,None
Ball of Fire,1941,True,TheBox,Title+Year
The Fall Guy,2024,True,"JeSTeRPLeX, Z'Films",Title+Year
The Shitthropocene,2024,False,—,None
One Small Visit,2022,False,—,None
The Animal,2001,False,—,None
I.Q.,1994,False,—,None
Sybil,1976,False,—,None
Sybil,2007,False,—,None
Grumpy Old Men,1993,True,"RipItGood, TheBox",Title+Year
Grumpier Old Men,1995,True,TheBox,Title+Year
Megalopolis,2024,False,—,None
Solaris,2002,False,—,None
Another Earth,2011,False,—,None
Death Sentence,2007,True,RipItGood,Title+Year
Lucky Number Slevin,2006,True,RipItGood,Title+Year
Observe and Report,2009,True,TheBox,Title+Year
Public Enemies,2009,True,RipItGood,Title+Year
The 6th Day,2000,True,JeSTeRPLeX,Title+Year
The Arrival,1996,False,—,None
BASEketball,1998,False,—,None
The Beaver,2011,True,RipItGood,Title+Year
Blood Work,2002,False,—,None
Child 44,2015,False,—,None
Chillerama,2011,False,—,None
Fallen,1998,True,JeSTeRPLeX,Fuzzy
The Family Stone,2005,True,JeSTeRPLeX,Title+Year
The Gambler,2014,False,—,None
John Dies at the End,2012,False,—,None
Knockaround Guys,2001,False,—,None
Last Man Standing,1996,True,"RipItGood, TheBox",Title+Year
Paper Man,2009,False,—,None
Red State,2011,False,—,None
RoboCop,2014,True,JeSTeRPLeX,Title+Year
Savages,2012,False,—,None
Smokin' Aces,2006,True,RipItGood,Title+Year
The Taking of Pelham One Two Three,1974,False,—,None
Thirteen Lives,2022,True,JeSTeRPLeX,Title+Year
Frost/Nixon,2008,True,RipItGood,Title+Year
Bamboozled,2000,False,—,None
Dillinger,1973,True,"RipItGood, TheBox",Title+Year
The Exorcist III,1990,False,—,None
We Own the Night,2007,True,"RipItGood, TheBox",Title+Year
Mister Lonely,2007,False,—,None
Tommy,1975,False,—,None
Year of the Dragon,1985,False,—,None
Kundun,1997,False,—,None
M. Butterfly,1993,False,—,None
The Frighteners,1996,False,—,None
The Brothers Bloom,2008,False,—,None
World's Greatest Dad,2009,False,—,None
Stay,2005,False,—,None
The Rocketeer,1991,True,"TheBox, JeSTeRPLeX",Title+Year
Q & A,1990,False,—,None
The Edge,1997,True,JeSTeRPLeX,Title+Year
Life,1999,True,TheBox,Fuzzy
We Were Soldiers,2002,True,RipItGood,Title+Year
Déjà Vu,2006,False,—,None
Hang 'em High,1968,False,—,None
Father Brown,1954,False,—,None
What Dreams May Come,1998,True,"TheBox, JeSTeRPLeX",Title+Year
Bowfinger,1999,True,JeSTeRPLeX,Title+Year
This Must Be the Place,2011,False,—,None
The Good Thief,2002,False,—,None
The Legend of Hell House,1973,False,—,None
Passage to Marseille,1944,False,—,None
The Missouri Breaks,1976,False,—,None
Valhalla Rising,2009,False,—,None
Hour of the Gun,1967,False,—,None
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,1972,False,—,None
Alpha Dog,2006,True,"RipItGood, TheBox",Title+Year
Body Snatchers,1993,False,—,None
The Infiltrator,2016,False,—,None
That Thing You Do!,1996,True,"TheBox, JeSTeRPLeX",Title+Year
Your Honor,2020,False,—,None
Flight of the Navigator,1986,True,JeSTeRPLeX,Title+Year
The Cooler,2003,False,—,None
The Spanish Prisoner,1997,False,—,None
Single White Female,1992,False,—,None
Major League,1989,True,JeSTeRPLeX,Fuzzy
Only the Strong,1993,False,—,None
Bedazzled,2000,True,"RipItGood, JeSTeRPLeX",Title+Year
THX 1138,1971,False,—,None
Outbreak,1995,False,—,None
Presumed Innocent,1990,False,—,None
Porky's,1981,False,—,None
The Last American Virgin,1982,False,—,None
Bachelor Party,1984,False,—,None
Run Lola Run,1998,False,—,None
My Favorite Martian,1999,False,—,None
The Contestant,2023,False,—,None
No Way Up,2024,False,—,None
The Crying Game,1992,False,—,None
High Spirits,1988,False,—,None
We're No Angels,1989,False,—,None
Angel,1982,False,—,None
Fine Lines,2019,True,JeSTeRPLeX,Title+Year
Bicentennial Man,1999,True,JeSTeRPLeX,Title+Year
Wag the Dog,1997,False,—,None
Absolutely Anything,2015,False,—,None
Kinds of Kindness,2024,False,—,None
Confessions of a Good Samaritan,2023,False,—,None
Troop Beverly Hills,1989,False,—,None
The Day After,1983,False,—,None
The Kid with X-Ray Eyes,1999,False,—,None
Lost Ladies,2023,False,—,None
The Missing,2023,False,—,None
Challengers,2024,False,—,None
Ghostlight,2024,False,—,None
Manjummel Boys,2024,False,—,None
The Count of Monte Cristo,2024,True,Z'Films,Title+Year
Aavesham,2024,False,—,None
Riddle of Fire,2023,False,—,None
Amar Singh Chamkila,2024,False,—,None
Chime,2024,False,—,None
MaXXXine,2024,False,—,None
Sleepover,2004,True,RipItGood,Title+Year
The Master,2012,True,JeSTeRPLeX,Fuzzy
She-Devil,1989,False,—,None
The Grifters,1990,False,—,None
Hillbilly Elegy,2020,False,—,None
The House Bunny,2008,True,"RipItGood, JeSTeRPLeX",Title+Year
Gifted,2017,True,JeSTeRPLeX,Title+Year
Boomerang,1992,False,—,None
A Thin Line Between Love and Hate,1996,False,—,None
Take Me Out to the Ball Game,1949,False,—,None
The Las Vegas Story,1952,False,—,None
The Sugarland Express,1974,False,—,None
Trap,2024,True,JeSTeRPLeX,Title+Year
The Allnighter,1987,False,—,None
What About Bob?,1991,True,JeSTeRPLeX,Title+Year
Furiosa: A Mad Max Saga,2024,True,"TheBox, JeSTeRPLeX, Z'Films",Title+Year
Toy Story 4,2019,True,"TheBox, JeSTeRPLeX",Title+Year
Critters,1986,False,—,None
Maniac,1980,False,—,None
The Prowler,1981,False,—,None
The Deadly Spawn,1983,False,—,None
The Burning,1981,False,—,None
The Abomination,1988,False,—,None
Just Before Dawn,1981,False,—,None
The Dead Pit,1989,False,—,None
Jade,1995,False,—,None
The Undefeated,1969,True,"RipItGood, JeSTeRPLeX",Title+Year
Entrapment,1999,True,JeSTeRPLeX,Title+Year
Shallow Hal,2001,True,"RipItGood, JeSTeRPLeX",Title+Year
The Island,2005,True,"RipItGood, TheBox, JeSTeRPLeX",Title+Year
Outland,1981,False,—,None
Unseen,2023,False,—,None
Class,1983,False,—,None
